Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Difference,Difference,Difference,Difference,Difference,Difference
R6,10k_603,TopLayer,RES_0603_1608,133.9850,67.7930,0,RES SMD 10K OHM 1% 1/8W 0603,0.3090536822196122,0.3090536822196122,0.3090536822196122,0.3090536822196122,0.3090536822196122,0.3090536822196122
R2,1 kOhms,TopLayer,RES_0603_1608,97.5097,70.5907,270,RES SMD 1K OHM 1% 1/10W 0603,-0.06867924162697071,-0.06867924162697071,-0.06867924162697071,-0.06867924162697071,-0.06867924162697071,-0.06867924162697071
C5,C0603C100C5GACTU,TopLayer,FP-C0603C-CF-MFG,103.3500,69.9000,0,CAP CER 10PF 50V NP0 0603,0.07369588607765122,0.07369588607765122,0.07369588607765122,0.07369588607765122,0.07369588607765122,0.07369588607765122
C4,C0603C100C5GACTU,TopLayer,FP-C0603C-CF-MFG,103.3000,71.9000,0,CAP CER 10PF 50V NP0 0603,0.0590082245052145,0.0590082245052145,0.0590082245052145,0.0590082245052145,0.0590082245052145,0.0590082245052145
C19,Capacitor 100 nF +/-10% 50 V 0603,TopLayer,CAPC1608X90X40NL10T20,117.7710,32.8510,90,"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)",0.15940942007355366,0.15940942007355366,0.15940942007355366,0.15940942007355366,0.15940942007355366,0.15940942007355366
Y1,XTAL32M,TopLayer,ASX3F-32M-FA100A4,100.2000,71.0000,90,Crystal Oscillator,0.11827149675986456,0.11827149675986456,0.11827149675986456,0.11827149675986456,0.11827149675986456,0.11827149675986456
U5,MCP2551-I/SN,TopLayer,MCHP-SN8_V,71.5010,15.3680,0,"High-Speed CAN Transceiver,
 1 Mb/s, 4.5 to 5.5 V, 8-Pin SOIC (SN), Industrial Temperature, RoHS, Tube",0.06076577302508513,0.06076577302508513,0.06076577302508513,0.06076577302508513,0.06076577302508513,0.06076577302508513
U2,LM4128AMF-2.5,TopLayer,MF05A_N,102.2230,66.8290,0,"Precision Micropower Series Voltage Reference, 5-pin SOT-23",0.2521073359820952,0.2521073359820952,0.2521073359820952,0.2521073359820952,0.2521073359820952,0.2521073359820952
U1,STM32L433VCT6TR,TopLayer,LQFP-100_STM,83.3120,69.9520,180,No Description Available,0.1458329446692229,0.1458329446692229,0.1458329446692229,0.1458329446692229,0.1458329446692229,0.1458329446692229
U4,MAX485ESA+T,TopLayer,FP-S8-2-MFG,69.5440,25.7560,0,IC TRANSCEIVER HALF 1/1 8SOIC,0.1353218331972339,0.1353218331972339,0.1353218331972339,0.1353218331972339,0.1353218331972339,0.1353218331972339
U3,NCP1117ST33T3G,TopLayer,ONSC-SOT-223-4-318H-01_A_V,123.3170,36.4240,0,"Low-Dropout Positive Fixed Voltage Regulator, 1 A, 3.3 V Output Voltage, 0 to 125 degC, 4-Pin SOT-223 (318H-01), Pb-Free, Tape and Reel",0.12540886346132474,0.12540886346132474,0.12540886346132474,0.12540886346132474,0.12540886346132474,0.12540886346132474
RST1,BUTON,TopLayer,TECO-FSMSM-2_V,100.5840,51.0060,90,"FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk",0.18694216171949532,0.18694216171949532,0.18694216171949532,0.18694216171949532,0.18694216171949532,0.18694216171949532
R136,ERJ-3EKF1501V,TopLayer,RESC1608X55X30ML15T15,35.3650,21.8548,0,,0.09684978320982746,0.09684978320982746,0.09684978320982746,0.09684978320982746,0.09684978320982746,0.09684978320982746
R135,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,17.8000,22.2500,0,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",0.18681670788117904,0.18681670788117904,0.18681670788117904,0.18681670788117904,0.18681670788117904,0.18681670788117904
R134,22 Ohms,TopLayer,RES_0603_1608,31.0690,20.2038,0,RES 22 OHM 1% 1/10W 0603,0.03466061456739898,0.03466061456739898,0.03466061456739898,0.03466061456739898,0.03466061456739898,0.03466061456739898
R132,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,17.8618,24.2183,0,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",0.12042917361692876,0.12042917361692876,0.12042917361692876,0.12042917361692876,0.12042917361692876,0.12042917361692876
R131,2 kOhms,TopLayer,RES_0603_1608,64.2620,23.5970,90,RES 2K OHM 1% 1/10W 0603,0.04265536652467591,0.04265536652467591,0.04265536652467591,0.04265536652467591,0.04265536652467591,0.04265536652467591
R130,22 Ohms,TopLayer,RES_0603_1608,31.0840,21.9818,0,RES 22 OHM 1% 1/10W 0603,0.06102855909697554,0.06102855909697554,0.06102855909697554,0.06102855909697554,0.06102855909697554,0.06102855909697554
R129,1 kOhms,TopLayer,RES_0603_1608,25.1150,25.6648,270,RES SMD 1K OHM 1% 1/10W 0603,0.03130247730993289,0.03130247730993289,0.03130247730993289,0.03130247730993289,0.03130247730993289,0.03130247730993289
R127,ERJ-3EKF4701V,TopLayer,RESC1608X55X30NL15T15,75.4750,27.9000,180,"Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",0.0906088458057591,0.0906088458057591,0.0906088458057591,0.0906088458057591,0.0906088458057591,0.0906088458057591
R125,ERJ-3EKF1501V,TopLayer,RESC1608X55X30ML15T15,35.4020,19.9498,180,,0.08242443932758588,0.08242443932758588,0.08242443932758588,0.08242443932758588,0.08242443932758588,0.08242443932758588
R123,1 kOhms,TopLayer,RES_0603_1608,30.0680,25.6648,90,RES SMD 1K OHM 1% 1/10W 0603,0.07041583085869067,0.07041583085869067,0.07041583085869067,0.07041583085869067,0.07041583085869067,0.07041583085869067
R115,ERJ-3EKF4701V,TopLayer,RESC1608X55X30NL15T15,74.8500,21.3500,270,"Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",0.06553527005315837,0.06553527005315837,0.06553527005315837,0.06553527005315837,0.06553527005315837,0.06553527005315837
R96,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,14.6050,59.7158,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.22662363089987986,0.22662363089987986,0.22662363089987986,0.22662363089987986,0.22662363089987986,0.22662363089987986
R95,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,14.6050,45.1457,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.15832115936197036,0.15832115936197036,0.15832115936197036,0.15832115936197036,0.15832115936197036,0.15832115936197036
R93,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,14.6050,97.9936,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.3382209278039664,0.3382209278039664,0.3382209278039664,0.3382209278039664,0.3382209278039664,0.3382209278039664
R92,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,14.5542,83.7188,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.27320614937481774,0.27320614937481774,0.27320614937481774,0.27320614937481774,0.27320614937481774,0.27320614937481774
R91,10 kOhms,TopLayer,RES_0603_1608,49.8400,63.6124,90,RES SMD 10K OHM 1% 1/8W 0603,0.1443929696351189,0.1443929696351189,0.1443929696351189,0.1443929696351189,0.1443929696351189,0.1443929696351189
R90,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,14.6050,78.4610,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.23740309761541756,0.23740309761541756,0.23740309761541756,0.23740309761541756,0.23740309761541756,0.23740309761541756
R89,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,14.5542,65.0169,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.24404505778008545,0.24404505778008545,0.24404505778008545,0.24404505778008545,0.24404505778008545,0.24404505778008545
R88,10 kOhms,TopLayer,RES_0603_1608,49.3014,101.1536,90,RES SMD 10K OHM 1% 1/8W 0603,0.15807638947603803,0.15807638947603803,0.15807638947603803,0.15807638947603803,0.15807638947603803,0.15807638947603803
R87,10 kOhms,TopLayer,RES_0603_1608,49.6316,82.8148,90,RES SMD 10K OHM 1% 1/8W 0603,0.19245424571935882,0.19245424571935882,0.19245424571935882,0.19245424571935882,0.19245424571935882,0.19245424571935882
R86,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,26.6954,59.7158,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.15335197071360007,0.15335197071360007,0.15335197071360007,0.15335197071360007,0.15335197071360007,0.15335197071360007
R85,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,26.6954,45.5826,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.1615843062957553,0.1615843062957553,0.1615843062957553,0.1615843062957553,0.1615843062957553,0.1615843062957553
R84,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,26.6954,97.9936,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.43794643483171436,0.43794643483171436,0.43794643483171436,0.43794643483171436,0.43794643483171436,0.43794643483171436
R83,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,26.6954,83.7442,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.3057008433872189,0.3057008433872189,0.3057008433872189,0.3057008433872189,0.3057008433872189,0.3057008433872189
R79,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,20.7772,51.4256,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.38416284717114635,0.38416284717114635,0.38416284717114635,0.38416284717114635,0.38416284717114635,0.38416284717114635
R78,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,20.7772,39.4138,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.3400937484734057,0.3400937484734057,0.3400937484734057,0.3400937484734057,0.3400937484734057,0.3400937484734057
R77,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,20.7772,89.1539,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.17289332240450683,0.17289332240450683,0.17289332240450683,0.17289332240450683,0.17289332240450683,0.17289332240450683
R76,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,20.7772,77.5748,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.4164636932459148,0.4164636932459148,0.4164636932459148,0.4164636932459148,0.4164636932459148,0.4164636932459148
R75,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,20.7772,70.5479,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.3489511737614657,0.3489511737614657,0.3489511737614657,0.3489511737614657,0.3489511737614657,0.3489511737614657
R74,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,20.7772,58.5519,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.3842439673144909,0.3842439673144909,0.3842439673144909,0.3842439673144909,0.3842439673144909,0.3842439673144909
R53,10K,TopLayer,RESC1609X50X30NL8T20,35.2820,118.4660,0,CRCW060310K0FKEA,0.010437665523293558,0.010437665523293558,0.010437665523293558,0.010437665523293558,0.010437665523293558,0.010437665523293558
R48,470R,TopLayer,FP-CRCW0603-e3-MFG,36.5928,114.5385,180,CRCW0603470RFKEA,0.15449016337008822,0.15449016337008822,0.15449016337008822,0.15449016337008822,0.15449016337008822,0.15449016337008822
R43,0R,TopLayer,RESC1608X55X25ML10T15,35.2820,124.6890,0,RC0603JR-070RL,0.14634585186871957,0.14634585186871957,0.14634585186871957,0.14634585186871957,0.14634585186871957,0.14634585186871957
R38,10K,TopLayer,RESC1609X50X30NL8T20,29.9588,118.5930,0,CRCW060310K0FKEA,0.013404545893811728,0.013404545893811728,0.013404545893811728,0.013404545893811728,0.013404545893811728,0.013404545893811728
R37,10K,TopLayer,RESC1609X50X30NL8T20,24.6426,119.4474,0,CRCW060310K0FKEA,0.15749457589801444,0.15749457589801444,0.15749457589801444,0.15749457589801444,0.15749457589801444,0.15749457589801444
R36,10K,TopLayer,RESC1609X50X30NL8T20,12.1547,118.9390,0,CRCW060310K0FKEA,0.024665952792274612,0.024665952792274612,0.024665952792274612,0.024665952792274612,0.024665952792274612,0.024665952792274612
R32,10K,TopLayer,RESC1609X50X30NL8T20,108.3278,17.6280,270,CRCW060310K0FKEA,0.14641166055659532,0.14641166055659532,0.14641166055659532,0.14641166055659532,0.14641166055659532,0.14641166055659532
R30,470R,TopLayer,FP-CRCW0603-e3-MFG,31.1000,114.5750,180,CRCW0603470RFKEA,0.12992031511903002,0.12992031511903002,0.12992031511903002,0.12992031511903002,0.12992031511903002,0.12992031511903002
R29,470R,TopLayer,FP-CRCW0603-e3-MFG,25.2569,115.2725,180,CRCW0603470RFKEA,0.41673209294816793,0.41673209294816793,0.41673209294816793,0.41673209294816793,0.41673209294816793,0.41673209294816793
R28,470R,TopLayer,FP-CRCW0603-e3-MFG,12.7495,115.2583,180,CRCW0603470RFKEA,0.027284998146008037,0.027284998146008037,0.027284998146008037,0.027284998146008037,0.027284998146008037,0.027284998146008037
R25,470R,TopLayer,FP-CRCW0603-e3-MFG,110.2764,17.6411,270,CRCW0603470RFKEA,0.07061492718572478,0.07061492718572478,0.07061492718572478,0.07061492718572478,0.07061492718572478,0.07061492718572478
R137,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,76.9620,17.5270,0,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",-0.030136560999882548,-0.030136560999882548,-0.030136560999882548,-0.030136560999882548,-0.030136560999882548,-0.030136560999882548
R138,120 Ohms,TopLayer,RES_0603_1608,79.0250,15.3750,270,RES 120 OHM 1% 1/10W 0603,0.060999408252726386,0.060999408252726386,0.060999408252726386,0.060999408252726386,0.060999408252726386,0.060999408252726386
R22,0R,TopLayer,RESC1608X55X25ML10T15,29.4738,124.7240,0,RC0603JR-070RL,-0.0489339548329452,-0.0489339548329452,-0.0489339548329452,-0.0489339548329452,-0.0489339548329452,-0.0489339548329452
R21,0R,TopLayer,RESC1608X55X25ML10T15,24.3562,125.1890,0,RC0603JR-070RL,0.18524372959593888,0.18524372959593888,0.18524372959593888,0.18524372959593888,0.18524372959593888,0.18524372959593888
R82,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,26.6954,78.5118,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.38620830695911135,0.38620830695911135,0.38620830695911135,0.38620830695911135,0.38620830695911135,0.38620830695911135
R81,Resistor 0R +/- 5% 1206 250 mW,BottomLayer,RESC3216X60X45ML15T20,26.6446,65.0169,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)",0.3056758777486842,0.3056758777486842,0.3056758777486842,0.3056758777486842,0.3056758777486842,0.3056758777486842
R55,10 kOhms,TopLayer,RES_0603_1608,49.7840,44.6282,90,RES SMD 10K OHM 1% 1/8W 0603,0.1466667695488896,0.1466667695488896,0.1466667695488896,0.1466667695488896,0.1466667695488896,0.1466667695488896
R133,10 kOhms,TopLayer,RES_0603_1608,60.5590,18.8610,0,RES SMD 10K OHM 1% 1/8W 0603,0.11844715372848252,0.11844715372848252,0.11844715372848252,0.11844715372848252,0.11844715372848252,0.11844715372848252
R14,4.7k_603,TopLayer,RES_0603_1608,123.6980,29.3120,180,RES SMD 1K OHM 1% 1/10W 0603,0.032535863302260604,0.032535863302260604,0.032535863302260604,0.032535863302260604,0.032535863302260604,0.032535863302260604
R128,2 kOhms,TopLayer,RES_0603_1608,69.0730,29.6930,0,RES 2K OHM 1% 1/10W 0603,0.04419239017594992,0.04419239017594992,0.04419239017594992,0.04419239017594992,0.04419239017594992,0.04419239017594992
